GeoFips,GeoName,2018,2019,2020
31860,"Mankato, MN (Metropolitan Statistical Area)",5740137,5827629,5821746
31900,"Mansfield, OH (Metropolitan Statistical Area)",4756629,4814760,4721110
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",21488323,22529550,22908324
32780,"Medford, OR (Metropolitan Statistical Area)",9296625,9666326,9592783
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",75275028,77380149,77274523
32900,"Merced, CA (Metropolitan Statistical Area)",9207334,9512032,9635342
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",360229870,376603207,365051489
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",4376163,4276544,4204186
33220,"Midland, MI (Metropolitan Statistical Area)",5648792,5405461,5264143
33260,"Midland, TX (Metropolitan Statistical Area)",31784033,33276504,21823909
33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",101719394,105601246,102400733
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",271255004,278263825,270282128
33540,"Missoula, MT (Metropolitan Statistical Area)",5596205,5878743,5905841
33660,"Mobile, AL (Metropolitan Statistical Area)",21429785,21924124,21123821
33700,"Modesto, CA (Metropolitan Statistical Area)",23138910,24042666,24203279
33740,"Monroe, LA (Metropolitan Statistical Area)",8532964,8404194,8171854
33780,"Monroe, MI (Metropolitan Statistical Area)",6007602,6246110,5991777
33860,"Montgomery, AL (Metropolitan Statistical Area)",18375939,18756175,18527675
34060,"Morgantown, WV (Metropolitan Statistical Area)",7876625,7857656,7738052
34100,"Morristown, TN (Metropolitan Statistical Area)",5099171,5359558,5335071
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",7303513,7279506,6752967
34620,"Muncie, IN (Metropolitan Statistical Area)",4102070,4221491,4246628
34740,"Muskegon, MI (Metropolitan Statistical Area)",6197858,6298098,6013588
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",18417190,19208170,19075327
34900,"Napa, CA (Metropolitan Statistical Area)",11100761,11496842,11239687
34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",20085524,20962820,21082482
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",133679614,141822070,136058470
35100,"New Bern, NC (Metropolitan Statistical Area)",5296365,5670206,5659428
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",51684784,53831573,53026077
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",82668771,83271870,76382297
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",1790858079,1872165505,1809323397
35660,"Niles, MI (Metropolitan Statistical Area)",7809664,7830748,7987051
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",36713701,38982640,39485822
35980,"Norwich-New London, CT (Metropolitan Statistical Area)",19579007,20099309,18177091
36100,"Ocala, FL (Metropolitan Statistical Area)",10329376,10869018,11373344
